URS Requirement ID,Priority,Requirement,Acceptance Criteria,Business Process,Epic,Design Component,Design Reference,API,Database Entity,User Story,Test Case ID,Test Type,Test Case,Test Result,Defect Reference,Release Version
BFR-GOV-001,P1,The platform shall support configurable country-specific regulatory rules.,Regulatory limits can be changed through controlled configuration without changing source code.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Resolution engine,05-fds/domain-01-platform-governance.md#bfr-gov-001,GET /api/admin/v1/config?key=&scope_type=&scope_ref=; GET /api/admin/v1/config/{config_id}; POST /api/admin/v1/config/{config_id}/versions; GET /api/admin/v1/config/resolve?key=&country=&product=&tier=&corridor=&cohort=,"platform_config, config_version",US-GOV-001,TC-GOV-001-1,Positive functional,Change a limit via config; new limit enforced with no deployment,NOT_EXECUTED,,
BFR-GOV-001,P1,The platform shall support configurable country-specific regulatory rules.,Regulatory limits can be changed through controlled configuration without changing source code.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Resolution engine,05-fds/domain-01-platform-governance.md#bfr-gov-001,GET /api/admin/v1/config?key=&scope_type=&scope_ref=; GET /api/admin/v1/config/{config_id}; POST /api/admin/v1/config/{config_id}/versions; GET /api/admin/v1/config/resolve?key=&country=&product=&tier=&corridor=&cohort=,"platform_config, config_version",US-GOV-001,TC-GOV-001-2,Negative functional,Wrong data type for key is rejected,NOT_EXECUTED,,
BFR-GOV-001,P1,The platform shall support configurable country-specific regulatory rules.,Regulatory limits can be changed through controlled configuration without changing source code.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Resolution engine,05-fds/domain-01-platform-governance.md#bfr-gov-001,GET /api/admin/v1/config?key=&scope_type=&scope_ref=; GET /api/admin/v1/config/{config_id}; POST /api/admin/v1/config/{config_id}/versions; GET /api/admin/v1/config/resolve?key=&country=&product=&tier=&corridor=&cohort=,"platform_config, config_version",US-GOV-001,TC-GOV-001-3,Permissions,User without `config.propose` cannot create a version,NOT_EXECUTED,,
BFR-GOV-001,P1,The platform shall support configurable country-specific regulatory rules.,Regulatory limits can be changed through controlled configuration without changing source code.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Resolution engine,05-fds/domain-01-platform-governance.md#bfr-gov-001,GET /api/admin/v1/config?key=&scope_type=&scope_ref=; GET /api/admin/v1/config/{config_id}; POST /api/admin/v1/config/{config_id}/versions; GET /api/admin/v1/config/resolve?key=&country=&product=&tier=&corridor=&cohort=,"platform_config, config_version",US-GOV-001,TC-GOV-001-4,Audit verification,Activation writes audit with old and new value,NOT_EXECUTED,,
BFR-GOV-001,P1,The platform shall support configurable country-specific regulatory rules.,Regulatory limits can be changed through controlled configuration without changing source code.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Resolution engine,05-fds/domain-01-platform-governance.md#bfr-gov-001,GET /api/admin/v1/config?key=&scope_type=&scope_ref=; GET /api/admin/v1/config/{config_id}; POST /api/admin/v1/config/{config_id}/versions; GET /api/admin/v1/config/resolve?key=&country=&product=&tier=&corridor=&cohort=,"platform_config, config_version",US-GOV-001,TC-GOV-001-5,API contract,Resolve endpoint returns the deciding `config_version_id`,NOT_EXECUTED,,
BFR-GOV-001,P1,The platform shall support configurable country-specific regulatory rules.,Regulatory limits can be changed through controlled configuration without changing source code.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Resolution engine,05-fds/domain-01-platform-governance.md#bfr-gov-001,GET /api/admin/v1/config?key=&scope_type=&scope_ref=; GET /api/admin/v1/config/{config_id}; POST /api/admin/v1/config/{config_id}/versions; GET /api/admin/v1/config/resolve?key=&country=&product=&tier=&corridor=&cohort=,"platform_config, config_version",US-GOV-001,TC-GOV-001-6,Error handling,"Missing effective version fails closed, does not silently default",NOT_EXECUTED,,
BFR-GOV-002,P1,The platform shall distinguish BuntuFin services from regulated partner services.,Each financial product identifies the legal service provider presented to the customer.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Product catalogue + `partner-svc`,05-fds/domain-01-platform-governance.md#bfr-gov-002,GET /api/v1/products/{product_code}; POST /api/admin/v1/products/{id}/versions,"product, product_version.legal_provider_partner_id **NOT NULL**, partner",US-GOV-002,TC-GOV-002-1,Positive functional,Product descriptor returns provider; UI renders attribution,NOT_EXECUTED,,
BFR-GOV-002,P1,The platform shall distinguish BuntuFin services from regulated partner services.,Each financial product identifies the legal service provider presented to the customer.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Product catalogue + `partner-svc`,05-fds/domain-01-platform-governance.md#bfr-gov-002,GET /api/v1/products/{product_code}; POST /api/admin/v1/products/{id}/versions,"product, product_version.legal_provider_partner_id **NOT NULL**, partner",US-GOV-002,TC-GOV-002-2,Negative functional,Product version without provider cannot activate,NOT_EXECUTED,,
BFR-GOV-002,P1,The platform shall distinguish BuntuFin services from regulated partner services.,Each financial product identifies the legal service provider presented to the customer.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Product catalogue + `partner-svc`,05-fds/domain-01-platform-governance.md#bfr-gov-002,GET /api/v1/products/{product_code}; POST /api/admin/v1/products/{id}/versions,"product, product_version.legal_provider_partner_id **NOT NULL**, partner",US-GOV-002,TC-GOV-002-3,Security,Provider field cannot be overridden by a client-supplied parameter,NOT_EXECUTED,,
BFR-GOV-002,P1,The platform shall distinguish BuntuFin services from regulated partner services.,Each financial product identifies the legal service provider presented to the customer.,Platform governance,EPIC-GOV,Configuration (`config-svc`) / Product catalogue + `partner-svc`,05-fds/domain-01-platform-governance.md#bfr-gov-002,GET /api/v1/products/{product_code}; POST /api/admin/v1/products/{id}/versions,"product, product_version.legal_provider_partner_id **NOT NULL**, partner",US-GOV-002,TC-GOV-002-4,Audit verification,Provider change audited with approver,NOT_EXECUTED,,
